const_key,tmc_vote_share_2016,tmc_vote_share_2021,tmc_vote_share_2026,bjp_vote_share_2016,bjp_vote_share_2021,bjp_vote_share_2026,left_inc_vote_share_2016,left_inc_vote_share_2021,left_inc_vote_share_2026,others_vote_share_2016,others_vote_share_2021,others_vote_share_2026,turnout_percent_2016,turnout_percent_2021,turnout_percent_2026,victory_margin_percent_2016,victory_margin_percent_2021,victory_margin_percent_2026,candidate_count_2016,candidate_count_2021,candidate_count_2026,nota_pct_2016,nota_pct_2021,nota_pct_2026,enp_2016,enp_2021,enp_2026,fragmentation_2016,fragmentation_2021,fragmentation_2026,competitiveness_2016,competitiveness_2021,competitiveness_2026,criminal_cases_2016,criminal_cases_2021,criminal_cases_2026,edu_code_2016,edu_code_2021,edu_code_2026,age_2016,age_2021,age_2026,log_assets_2016,log_assets_2021,log_assets_2026,log_liabilities_2016,log_liabilities_2021,log_liabilities_2026,constituency,dom_2021,dom_2026,kmeans_cluster,cluster_label,kmeans_nopca,hc_cluster
ALIPURDUARS,0.44087899999999997,0.410026,0.313259,0.098788,0.481893,0.616185,0.429446,0.075256,0.044536,0.030886999999999998,0.032825,0.026019999999999998,86.157,85.6832,84.37755,5.8778,7.1867,30.2926,8.0,9.0,10.0,1.4648,0.8894,1.127,2.567320039707773,2.4565007134966286,2.081270919586802,0.6104887647300001,0.5929168697139999,0.519524348998,0.941222,0.928133,0.697074,1.0,12.0,0.0,8.0,7.0,6.0,43.0,50.0,60.0,16.251358169939564,15.219726857424385,17.579765792723006,0.0,0.0,17.05670126354045,Alipurduars,BJP,BJP,0,TMC Strongholds (C0),3,2
ALIPURDUARS,0.44087899999999997,0.410026,0.313259,0.098788,0.481893,0.616185,0.429446,0.075256,0.044536,0.030886999999999998,0.032825,0.026019999999999998,86.157,85.6832,84.37755,5.8778,7.1867,30.2926,8.0,9.0,10.0,1.4648,0.8894,1.127,2.567320039707773,2.4565007134966286,2.081270919586802,0.6104887647300001,0.5929168697139999,0.519524348998,0.941222,0.928133,0.697074,1.0,12.0,0.0,8.0,7.0,6.0,43.0,50.0,60.0,16.251358169939564,15.219726857424385,17.579765792723006,0.0,0.0,17.05670126354045,ALIPURDUARS,BJP,BJP,0,TMC Strongholds (C0),3,2
AMDANGA,0.499977,0.42001600000000006,0.38252600000000003,0.081556,0.299681,0.368498,0.006123,0.0026969999999999997,0.007405,0.412344,0.277606,0.241571,89.0454,87.4021,84.37755,11.9364,12.0335,1.4028,7.0,9.0,12.0,0.9397,1.0976,0.7349,2.343602899754239,2.9129507738362874,2.936613502262553,0.57330655287,0.6567054929379998,0.6594717012539999,0.880636,0.879665,0.985972,2.0,1.0,1.0,6.0,6.0,7.0,55.0,60.0,46.0,15.589919880106578,16.261059678573442,15.7605839284466,11.918397239722838,13.619496890582589,13.845555649714898,Amdanga,TMC,TMC,0,TMC Strongholds (C0),2,2
AMDANGA,0.499977,0.42001600000000006,0.38252600000000003,0.081556,0.299681,0.368498,0.006123,0.0026969999999999997,0.007405,0.412344,0.277606,0.241571,89.0454,87.4021,84.37755,11.9364,12.0335,1.4028,7.0,9.0,12.0,0.9397,1.0976,0.7349,2.343602899754239,2.9129507738362874,2.936613502262553,0.57330655287,0.6567054929379998,0.6594717012539999,0.880636,0.879665,0.985972,2.0,1.0,1.0,6.0,6.0,7.0,55.0,60.0,46.0,15.589919880106578,16.261059678573442,15.7605839284466,11.918397239722838,13.619496890582589,13.845555649714898,AMDANGA,TMC,TMC,0,TMC Strongholds (C0),2,2
AMTA,0.446734,0.490613,0.422762,0.058293,0.36511699999999997,0.44155500000000003,0.474669,0.125703,0.11036699999999999,0.020304000000000003,0.018567,0.025316,79.8617,79.8256,84.37755,2.3771,12.5496,1.8793,6.0,7.0,13.0,0.9468,0.6235,0.7827,2.3326756991222286,2.563067366455896,2.587186227629327,0.571307747418,0.609842482844,0.613479698786,0.976229,0.874504,0.981207,1.0,0.0,2.0,6.0,7.0,6.0,69.0,41.0,35.0,13.955602880540493,14.47786754843576,15.600528017501688,11.156264806643742,0.0,13.662823140379789,Amta,TMC,BJP,0,TMC Strongholds (C0),2,2
AMTA,0.446734,0.490613,0.422762,0.058293,0.36511699999999997,0.44155500000000003,0.474669,0.125703,0.11036699999999999,0.020304000000000003,0.018567,0.025316,79.8617,79.8256,84.37755,2.3771,12.5496,1.8793,6.0,7.0,13.0,0.9468,0.6235,0.7827,2.3326756991222286,2.563067366455896,2.587186227629327,0.571307747418,0.609842482844,0.613479698786,0.976229,0.874504,0.981207,1.0,0.0,2.0,6.0,7.0,6.0,69.0,41.0,35.0,13.955602880540493,14.47786754843576,15.600528017501688,11.156264806643742,0.0,13.662823140379789,AMTA,TMC,BJP,0,TMC Strongholds (C0),2,2
ASANSOL DAKSHIN,0.385413,0.42823900000000004,0.364902,0.265147,0.45128,0.554154,0.0,0.08201800000000001,0.056295000000000005,0.34944000000000003,0.038463,0.024649,75.0119,71.0835,84.37755,7.6974,2.3041,18.9252,5.0,5.0,8.0,2.1077,1.7798,1.324,2.9329433038394206,2.5300530183706305,2.25216690554534,0.6590455742219999,0.604751365786,0.555983174454,0.923026,0.976959,0.810748,7.0,2.0,23.0,7.0,6.0,6.0,62.0,48.0,53.0,14.827210010242014,16.992074028277223,17.46789012212621,0.0,16.298020254019207,16.301356016933,Asansol Dakshin,BJP,BJP,0,TMC Strongholds (C0),3,2
ASANSOL DAKSHIN,0.385413,0.42823900000000004,0.364902,0.265147,0.45128,0.554154,0.0,0.08201800000000001,0.056295000000000005,0.34944000000000003,0.038463,0.024649,75.0119,71.0835,84.37755,7.6974,2.3041,18.9252,5.0,5.0,8.0,2.1077,1.7798,1.324,2.9329433038394206,2.5300530183706305,2.25216690554534,0.6590455742219999,0.604751365786,0.555983174454,0.923026,0.976959,0.810748,7.0,2.0,23.0,7.0,6.0,6.0,62.0,48.0,53.0,14.827210010242014,16.992074028277223,17.46789012212621,0.0,16.298020254019207,16.301356016933,ASANSOL DAKSHIN,BJP,BJP,0,TMC Strongholds (C0),3,2
ASANSOL UTTAR,0.46124499999999996,0.523211,0.44111100000000003,0.331134,0.41378,0.496261,0.17364100000000002,0.002644,0.033237,0.03398,0.060365,0.029390999999999997,73.6104,70.0398,84.37755,13.0111,10.9431,5.515,5.0,7.0,13.0,1.5218,1.7356,1.3081,2.8272346463630145,2.22908501582244,2.2582415590299614,0.646297486738,0.551385437118,0.5571775765079999,0.869889,0.8905689999999999,0.94485,6.0,0.0,18.0,7.0,7.0,6.0,60.0,65.0,51.0,15.991345329102002,17.288419268313646,18.20924391330361,14.645995876291574,15.960238075742609,17.478628438978077,Asansol Uttar,TMC,BJP,0,TMC Strongholds (C0),3,2
ASANSOL UTTAR,0.46124499999999996,0.523211,0.44111100000000003,0.331134,0.41378,0.496261,0.17364100000000002,0.002644,0.033237,0.03398,0.060365,0.029390999999999997,73.6104,70.0398,84.37755,13.0111,10.9431,5.515,5.0,7.0,13.0,1.5218,1.7356,1.3081,2.8272346463630145,2.22908501582244,2.2582415590299614,0.646297486738,0.551385437118,0.5571775765079999,0.869889,0.8905689999999999,0.94485,6.0,0.0,18.0,7.0,7.0,6.0,60.0,65.0,51.0,15.991345329102002,17.288419268313646,18.20924391330361,14.645995876291574,15.960238075742609,17.478628438978077,ASANSOL UTTAR,TMC,BJP,0,TMC Strongholds (C0),3,2
ASHOKNAGAR,0.49975299999999995,0.431826,0.397707,0.083744,0.323245,0.440518,0.0064329999999999995,0.0034100000000000003,0.009306,0.41007,0.241519,0.152469,86.3956,84.3534,84.37755,11.6724,10.8581,4.2811,7.0,8.0,9.0,0.9165,0.7433,0.5283,2.353135479385142,2.8628351569250343,2.6626878032646126,0.5750350930660001,0.650695920238,0.62443963623,0.883276,0.891419,0.957189,1.0,3.0,2.0,6.0,6.0,7.0,59.0,51.0,67.0,15.428987701708879,16.5897897255958,17.583013605593095,0.0,14.520074814962156,14.914123179965662,Ashoknagar,TMC,BJP,0,TMC Strongholds (C0),2,2
ASHOKNAGAR,0.49975299999999995,0.431826,0.397707,0.083744,0.323245,0.440518,0.0064329999999999995,0.0034100000000000003,0.009306,0.41007,0.241519,0.152469,86.3956,84.3534,84.37755,11.6724,10.8581,4.2811,7.0,8.0,9.0,0.9165,0.7433,0.5283,2.353135479385142,2.8628351569250343,2.6626878032646126,0.5750350930660001,0.650695920238,0.62443963623,0.883276,0.891419,0.957189,1.0,3.0,2.0,6.0,6.0,7.0,59.0,51.0,67.0,15.428987701708879,16.5897897255958,17.583013605593095,0.0,14.520074814962156,14.914123179965662,ASHOKNAGAR,TMC,BJP,0,TMC Strongholds (C0),2,2
AUSGRAM,0.45937300000000003,0.46246499999999996,0.421261,0.074586,0.408039,0.476754,0.007542,0.103054,0.087203,0.458499,0.026442,0.014782,87.52,88.0351,84.37755,3.1753,5.4426,5.5493,5.0,5.0,6.0,1.9386,1.8606,1.0736,2.342661910649024,2.55304585911081,2.423783654174141,0.5731351607099999,0.6083109919740001,0.5874219226299999,0.968247,0.945574,0.944507,1.0,1.0,1.0,6.0,6.0,6.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Ausgram,TMC,BJP,3,TMC Strongholds (C3),0,3
AUSGRAM,0.45937300000000003,0.46246499999999996,0.421261,0.074586,0.408039,0.476754,0.007542,0.103054,0.087203,0.458499,0.026442,0.014782,87.52,88.0351,84.37755,3.1753,5.4426,5.5493,5.0,5.0,6.0,1.9386,1.8606,1.0736,2.342661910649024,2.55304585911081,2.423783654174141,0.5731351607099999,0.6083109919740001,0.5874219226299999,0.968247,0.945574,0.944507,1.0,1.0,1.0,6.0,6.0,6.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,AUSGRAM,TMC,BJP,3,TMC Strongholds (C3),0,3
BADURIA,0.38829,0.5153110000000001,0.45448500000000003,0.08987500000000001,0.25017,0.27828800000000004,0.507459,0.215377,0.01747,0.014376,0.019142,0.249757,87.7483,87.4792,84.37755,11.3408,26.5141,17.6197,5.0,6.0,13.0,0.8432,0.9174,0.61,2.400568767053728,2.667490929088808,2.8844662844619022,0.583432054218,0.6251158760859998,0.6533154138819999,0.886592,0.7348589999999999,0.823803,1.0,1.0,0.0,7.0,7.0,7.0,47.0,53.0,48.0,13.83103443661404,15.290497111877821,16.68066649697708,0.0,0.0,15.468008151429684,Baduria,TMC,TMC,2,TMC Strongholds (C2),1,0
BADURIA,0.38829,0.5153110000000001,0.45448500000000003,0.08987500000000001,0.25017,0.27828800000000004,0.507459,0.215377,0.01747,0.014376,0.019142,0.249757,87.7483,87.4792,84.37755,11.3408,26.5141,17.6197,5.0,6.0,13.0,0.8432,0.9174,0.61,2.400568767053728,2.667490929088808,2.8844662844619022,0.583432054218,0.6251158760859998,0.6533154138819999,0.886592,0.7348589999999999,0.823803,1.0,1.0,0.0,7.0,7.0,7.0,47.0,53.0,48.0,13.83103443661404,15.290497111877821,16.68066649697708,0.0,0.0,15.468008151429684,BADURIA,TMC,TMC,2,TMC Strongholds (C2),1,0
BAGHMUNDI,0.425937,0.36793,0.312188,0.059642999999999995,0.0,0.489548,0.47698799999999997,0.310592,0.16335899999999998,0.037432,0.321478,0.034905,84.1767,82.9007,84.37755,4.565,6.7711,17.736,7.0,6.0,11.0,1.0787,1.1566,1.0589,2.416052316227111,2.9834005397612318,2.7395525457651986,0.586101677814,0.664812020152,0.6349768864459999,0.95435,0.932289,0.82264,21.0,0.0,0.0,7.0,7.0,7.0,54.0,39.0,35.0,14.845199615577624,14.126966040181118,11.60769913724376,13.633390180932315,12.905783239690095,0.0,Baghmundi,TMC,BJP,0,TMC Strongholds (C0),3,2
BAGHMUNDI,0.425937,0.36793,0.312188,0.059642999999999995,0.0,0.489548,0.47698799999999997,0.310592,0.16335899999999998,0.037432,0.321478,0.034905,84.1767,82.9007,84.37755,4.565,6.7711,17.736,7.0,6.0,11.0,1.0787,1.1566,1.0589,2.416052316227111,2.9834005397612318,2.7395525457651986,0.586101677814,0.664812020152,0.6349768864459999,0.95435,0.932289,0.82264,21.0,0.0,0.0,7.0,7.0,7.0,54.0,39.0,35.0,14.845199615577624,14.126966040181118,11.60769913724376,13.633390180932315,12.905783239690095,0.0,BAGHMUNDI,TMC,BJP,0,TMC Strongholds (C0),3,2
BAGNAN,0.541004,0.530382,0.481031,0.057134,0.37973300000000004,0.429219,0.005231,0.07511999999999999,0.07129400000000001,0.396631,0.014764999999999999,0.018456,85.9051,86.5195,84.37755,16.6984,15.0649,5.1812,9.0,7.0,11.0,1.2287,0.7743,0.9377,2.206077969634809,2.3182318626182634,2.3750530246660926,0.5467068645059999,0.568636763162,0.578956768706,0.833016,0.849351,0.948188,3.0,1.0,0.0,5.0,5.0,5.0,40.0,45.0,50.0,15.24749958284625,15.717056882140563,17.62619067735264,12.910651732135861,0.0,14.394329914244068,Bagnan,TMC,TMC,0,TMC Strongholds (C0),2,2
BAGNAN,0.541004,0.530382,0.481031,0.057134,0.37973300000000004,0.429219,0.005231,0.07511999999999999,0.07129400000000001,0.396631,0.014764999999999999,0.018456,85.9051,86.5195,84.37755,16.6984,15.0649,5.1812,9.0,7.0,11.0,1.2287,0.7743,0.9377,2.206077969634809,2.3182318626182634,2.3750530246660926,0.5467068645059999,0.568636763162,0.578956768706,0.833016,0.849351,0.948188,3.0,1.0,0.0,5.0,5.0,5.0,40.0,45.0,50.0,15.24749958284625,15.717056882140563,17.62619067735264,12.910651732135861,0.0,14.394329914244068,BAGNAN,TMC,TMC,0,TMC Strongholds (C0),2,2
BAHARAMPUR,0.188584,0.316224,0.221102,0.09992699999999999,0.45210900000000004,0.406157,0.688087,0.20852,0.33354300000000003,0.023402,0.023147,0.039198,79.5283,76.0135,84.37755,49.0326,13.5885,7.8246,5.0,7.0,13.0,1.8721,1.2778,0.606,1.9247029137344434,2.8701278068216034,3.0615023451321686,0.480439296442,0.651583459934,0.673362980894,0.509674,0.864115,0.921754,3.0,6.0,6.0,6.0,6.0,6.0,62.0,54.0,59.0,15.394683264712656,15.434934444180682,16.44213744879962,11.407576060361786,0.0,0.0,Baharampur,BJP,BJP,0,TMC Strongholds (C0),3,2
BAHARAMPUR,0.188584,0.316224,0.221102,0.09992699999999999,0.45210900000000004,0.406157,0.688087,0.20852,0.33354300000000003,0.023402,0.023147,0.039198,79.5283,76.0135,84.37755,49.0326,13.5885,7.8246,5.0,7.0,13.0,1.8721,1.2778,0.606,1.9247029137344434,2.8701278068216034,3.0615023451321686,0.480439296442,0.651583459934,0.673362980894,0.509674,0.864115,0.921754,3.0,6.0,6.0,6.0,6.0,6.0,62.0,54.0,59.0,15.394683264712656,15.434934444180682,16.44213744879962,11.407576060361786,0.0,0.0,BAHARAMPUR,BJP,BJP,0,TMC Strongholds (C0),3,2
BALAGARH,0.473638,0.456289,0.370347,0.101908,0.42999299999999996,0.555782,0.008435,0.09960100000000001,0.057664999999999994,0.416019,0.014117,0.016206,85.5926,85.192,84.37755,8.7572,2.6296,18.5435,5.0,4.0,7.0,1.9025,1.4116,0.5959,2.4518147718018373,2.480077042252092,2.224009245310836,0.5921388469059999,0.5967867195400001,0.5503615814059999,0.912428,0.973704,0.814565,1.0,1.0,1.0,6.0,6.0,6.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,Balagarh,TMC,BJP,3,TMC Strongholds (C3),0,3
BALAGARH,0.473638,0.456289,0.370347,0.101908,0.42999299999999996,0.555782,0.008435,0.09960100000000001,0.057664999999999994,0.416019,0.014117,0.016206,85.5926,85.192,84.37755,8.7572,2.6296,18.5435,5.0,4.0,7.0,1.9025,1.4116,0.5959,2.4518147718018373,2.480077042252092,2.224009245310836,0.5921388469059999,0.5967867195400001,0.5503615814059999,0.912428,0.973704,0.814565,1.0,1.0,1.0,6.0,6.0,6.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,BALAGARH,TMC,BJP,3,TMC Strongholds (C3),0,3
BALARAMPUR,0.470154,0.450069,0.379048,0.051205,0.452206,0.538409,0.41631999999999997,0.053989,0.045744,0.062321,0.043736,0.036799,83.4615,83.2651,84.37755,5.8445,0.2137,15.9361,9.0,8.0,10.0,1.6484,1.233,1.0794,2.494555724542004,2.4278914950478008,2.2882859659751387,0.599127014818,0.5881199789860001,0.5629916824779999,0.941555,0.9978629999999999,0.840639,11.0,3.0,0.0,4.0,5.0,5.0,63.0,48.0,40.0,15.500744388597864,14.9240735075185,15.029235950821377,0.0,0.0,14.603968372873895,Balarampur,BJP,BJP,0,TMC Strongholds (C0),3,2
