year,constituency_id,constituency,total_electors,total_votes_polled,total_valid_votes,turnout_percent,winner_name,winner_party,winner_party_raw,winner_votes,winner_vote_share,runner_name,runner_party,runner_party_raw,runner_votes,runner_vote_share,victory_margin_votes,victory_margin_percent,candidate_count,candidate_count_including_nota,nota_votes,nota_vote_share,tmc_vote_share,bjp_vote_share,left_inc_vote_share,others_vote_share,eci_source_url,turnout_available_from_source
2016,1,Mekliganj,202689.0,180960.0,180960.0,89.2796,ARGHYA ROY PRADHAN (BILU),AITC,AITC,74823.0,41.3478,PARESH CHANDRA ADHIKARY,AIFB,AIFB,68186.0,37.6802,6637.0,3.6676,9,10,2333.0,1.2892,41.3478,12.9062,38.8352,6.9108,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,2,Mathabhanga,229622.0,200385.0,200385.0,87.2673,BINAY KRISHNA BARMAN,AITC,AITC,96383.0,48.0989,KHAGEN CHANDRA BARMAN,CPM,CPM,64465.0,32.1706,31918.0,15.9283,8,9,1980.0,0.9881,48.0989,15.599,0.5135,35.7886,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,3,Cooch Behar Uttar,258722.0,223771.0,223771.0,86.4909,NAGENDRA NATH ROY,AIFB,AIFB,97629.0,43.629,PARIMAL BARMAN,AITC,AITC,85336.0,38.1354,12293.0,5.4936,8,9,2649.0,1.1838,38.1354,13.4177,44.4026,4.0443,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,4,Cooch Behar Dakshin,213162.0,179173.0,179173.0,84.0549,MIHIR GOSWAMI,AITC,AITC,82849.0,46.2397,DEBASIS BANIK,AIFB,AIFB,64654.0,36.0847,18195.0,10.155,7,8,2489.0,1.3892,46.2397,10.1444,37.0212,6.5947,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,5,Sitalkuchi,261348.0,230077.0,230077.0,88.0347,HITEN BARMAN,AITC,AITC,101647.0,44.1796,NAMADIPTI ADHIKARY,CPM,CPM,86164.0,37.4501,15483.0,6.7295,8,9,2106.0,0.9153,44.1796,11.886,0.9853,42.9491,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,6,Sitai,262565.0,218226.0,218226.0,83.1131,JAGADISH CHANDRA BARMA BASUNIA,AITC,AITC,103410.0,47.3867,KESHAB CHANDRA RAY,INC,INC,78159.0,35.8156,25251.0,11.5711,6,7,2476.0,1.1346,47.3867,12.7432,36.5712,3.2989,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,7,Dinhata,273294.0,223637.0,223637.0,81.8302,UDAYAN GUHA,AITC,AITC,100732.0,45.0426,AKSHAY THAKUR,AIFB,AIFB,78939.0,35.2978,21793.0,9.7448,9,10,2619.0,1.1711,45.0426,11.4462,35.6242,7.887,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,8,Natabari,223747.0,199597.0,199597.0,89.2066,RABINDRA NATH GHOSH,AITC,AITC,93257.0,46.7226,TAMSER ALI,CPM,CPM,77100.0,38.6278,16157.0,8.0948,6,7,1573.0,0.7881,46.7226,10.7837,0.6318,41.8619,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,9,Tufanganj,213560.0,192402.0,192402.0,90.0927,FAZAL KARIM MIAH,AITC,AITC,85052.0,44.2054,SHYAMAL CHOUDHURY,INC,INC,69782.0,36.2689,15270.0,7.9365,6,7,2498.0,1.2983,44.2054,15.6173,36.955,3.2223,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
2016,10,Kumargram,243359.0,208406.0,208406.0,85.6373,JAMES KUJUR,AITC,AITC,77668.0,37.2676,MANOJ KUMAR ORAON,RSP,RSP,71515.0,34.3152,6153.0,2.9524,6,7,5874.0,2.8185,37.2676,21.6582,35.3608,5.7134,https://old.eci.gov.in/files/file/3469-west-bengal-general-legislative-election-2016/,True
