year,myneta_constituency_url,myneta_candidate_url,myneta_constituency_query_id,candidate_id,constituency,district,candidate_name,party,is_winner,criminal_cases,education,age,assets_raw,liabilities_raw,assets,liabilities
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=312,12,312,ALIPURDUARS,ALIPURDUAR,Sourav Chakraborty,AITC,1,1,"Doctorate Master in Arts From University of North bengal in the year 1996, Doctorate of Philosophy from Biswabharati in the year 2014",43,"Rs 1,14,25,498 ~ 1 Crore+",Rs 0 ~,11425498,0
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=311,12,311,ALIPURDUARS,ALIPURDUAR,Alokesh Das,SUCI(C),0,0,Graduate,41,"Rs 1,02,000 ~ 1 Lacs+",Rs 0 ~,102000,0
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=441,12,441,ALIPURDUARS,ALIPURDUAR,Biswa Ranjan Sarkar,INC,0,2,Graduate,67,"Rs 81,25,907 ~ 81 Lacs+","Rs 12,56,223 ~ 12 Lacs+",8125907,1256223
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=682,12,682,ALIPURDUARS,ALIPURDUAR,Dalendra Nath Ray,Amra Bangalee,0,0,10th Pass,62,,,,
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=314,12,314,ALIPURDUARS,ALIPURDUAR,Gouri Roy,BSP,0,0,8th Pass,31,"Rs 2,77,000 ~ 2 Lacs+",Rs 0 ~,277000,0
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=313,12,313,ALIPURDUARS,ALIPURDUAR,Kushal Chatterjee,BJP,0,0,Graduate,39,"Rs 9,40,000 ~ 9 Lacs+",Rs 0 ~,940000,0
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=442,12,442,ALIPURDUARS,ALIPURDUAR,Nirmal Das,Revolutionary Socialist Party,0,3,Post Graduate,73,,,,
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=12,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=681,12,681,ALIPURDUARS,ALIPURDUAR,Santosh Kumar Balo,IND,0,0,Post Graduate,61,"Rs 2,39,51,513 ~ 2 Crore+",Rs 0 ~,23951513,0
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=13,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=444,13,444,FALAKATA (SC),ALIPURDUAR,Anil Adhikari,AITC,1,0,"10th Pass School Final Pass From Falakata High School,Year-1970",66,"Rs 1,10,50,891 ~ 1 Crore+","Rs 4,81,430 ~ 4 Lacs+",11050891,481430
2016,https://www.myneta.info/westbengal2016/index.php?action=show_candidates&constituency_id=13,https://www.myneta.info/westbengal2016/candidate.php?candidate_id=443,13,443,FALAKATA (SC),ALIPURDUAR,Bishnupada Roy,IND,0,0,Graduate,36,"Rs 1,87,000 ~ 1 Lacs+","Rs 2,50,000 ~ 2 Lacs+",187000,250000
